name,category,price,description,stock_quantity
Air Jordan 1,Sneakers, 170,The Air Jordan 1 is a classic and iconic sneaker that combines timeless style with premium materials.,20
Nike Air Force 1,Sneakers,90,The Nike Air Force 1 is a modern twist on the classic basketball sneaker known for its durability and comfort.,20
Classic White T-Shirt,T-Shirts,20,A soft breathable cotton T-shirt perfect for layering or wearing alone. Available in a variety of colors.,20
Supreme Box Logo T-Shirt,T-Shirts,38,A high-quality cotton tee with the iconic Supreme box logo a must-have for streetwear fans.,20
Champion Reverse Weave Hoodie,Hoodies,60,Made with durable cotton this hoodie features the signature Champion logo and is perfect for casual wear.,20
Adidas Trefoil Hoodie,Hoodies,65,The Adidas Trefoil Hoodie features a soft fleece lining and the iconic Trefoil logo for a vintage look.,20
Levi's 511 Slim Fit Jeans,Pants,70,The Levi's 511 Slim Fit Jeans offer a modern slim cut with a comfortable stretch for everyday wear.,20
Wrangler Authentics Classic Relaxed Fit,Pants,35,These relaxed fit jeans are designed for comfort and durability with a classic look that never goes out of style.,20
Calvin Klein Cotton Briefs,Underwears,25,A set of soft comfortable cotton briefs with the signature Calvin Klein waistband for a modern and stylish look.,20
Hanes ComfortSoft Boxer Briefs,Underwears,18,The Hanes ComfortSoft Boxer Briefs are designed for all-day comfort with a breathable cotton blend.,20
